"Fecha,""Codigo"",""Concepto"",""Tipo"",""Documento"",""Oficina"",""Monto"",""Saldo"""
"14/05/2019,""001055"",""45663112-COSTO IVA  CASH-PT-179170037600"",""D"",""0001098586"",""SERVICIOS CENTRALE(S)"",""0.04"",""83,824.11"""
"14/05/2019,""001055"",""45663112-COSTO OPER CASH-PT-179170037600"",""D"",""0001098547"",""SERVICIOS CENTRALE(S)"",""0.36"",""83,824.15"""
"14/05/2019,""001055"",""45663058-COSTO IVA  CASH-PT-179170037600"",""D"",""0001098494"",""SERVICIOS CENTRALE(S)"",""0.13"",""83,824.51"""
"14/05/2019,""001055"",""45663058-COSTO OPER CASH-PT-179170037600"",""D"",""0001098451"",""SERVICIOS CENTRALE(S)"",""1.07"",""83,824.64"""
"14/05/2019,""001055"",""45663052-COSTO IVA  CASH-PT-179170037600"",""D"",""0001098425"",""SERVICIOS CENTRALE(S)"",""0.17"",""83,825.71"""
"14/05/2019,""001055"",""45663052-COSTO OPER CASH-PT-179170037600"",""D"",""0001098398"",""SERVICIOS CENTRALE(S)"",""1.43"",""83,825.88"""
"14/05/2019,""001055"",""45663023-COSTO IVA  CASH-PT-179170037600"",""D"",""0001098341"",""SERVICIOS CENTRALE(S)"",""0.04"",""83,827.31"""
"14/05/2019,""001055"",""45663023-COSTO OPER CASH-PT-179170037600"",""D"",""0001098303"",""SERVICIOS CENTRALE(S)"",""0.36"",""83,827.35"""
"13/05/2019,""001055"",""45663112-CAPREMCI-PT-fondo sumin caf"",""D"",""0026081577"",""AG. NORTE"",""100.00"",""83,827.71"""
"13/05/2019,""001055"",""45663058-CAPREMCI-PT-cesantias 07052"",""D"",""0026081370"",""AG. NORTE"",""71,868.28"",""83,927.71"""
"13/05/2019,""001055"",""45663052-CAPREMCI-PT-creditos gye 10"",""D"",""0026080332"",""AG. NORTE"",""6,109.28"",""155,795.99"""
